venue,asset,kind,instrument,expiry,strike,cp,bid_coin,ask_coin,mark_coin,bid_usd,ask_usd,mark_iv,underlying,open_interest,volume,delta,vega,gamma,theta,funding_8h
deribit,BTC,option,BTC-28AUG26-110000-P,28AUG26,110000,P,0.663,0.784,0.72085537,42284.111220000006,50001.12096,65.75,63923.11,0.2,0.0,,,,,
deribit,BTC,option,BTC-25DEC26-40000-C,25DEC26,40000,C,0.392,0.3955,0.39363198,25000.56048,25223.77977,55.96,64838.8,250.9,0.0,,,,,
deribit,BTC,option,BTC-25DEC26-135000-P,25DEC26,135000,P,1.012,1.1625,1.08293291,64542.26328000001,74140.69275,46.71,64838.7,0.6,0.0,,,,,
deribit,BTC,option,BTC-4AUG26-65000-P,4AUG26,65000,P,0.013,0.0565,0.01986007,829.10022,3603.3971100000003,27.11,63749.12,0.2,0.4,-0.94521,3.0565,0.00015,-41.40974,
deribit,BTC,option,BTC-6AUG26-70000-P,6AUG26,70000,P,0.061,0.138,0.09778119,3890.39334,8801.21772,40.98,63768.39,0.0,0.0,-0.99567,0.69471,1e-05,-5.30957,
deribit,BTC,option,BTC-26MAR27-105000-C,26MAR27,105000,C,0.012,0.013,0.01272009,765.3232800000001,829.10022,40.1,65502.21,183.3,0.3,,,,,
deribit,BTC,option,BTC-26MAR27-100000-P,26MAR27,100000,P,0.54,0.5485,0.54322506,34439.547600000005,34981.65159,39.63,65502.04,12.1,0.0,,,,,
deribit,BTC,option,BTC-28AUG26-58000-P,28AUG26,58000,P,0.008,0.009,0.00844397,510.21552,573.9924599999999,38.6,63923.11,957.0,45.2,,,,,
deribit,BTC,option,BTC-5AUG26-62500-C,5AUG26,62500,C,0.019,0.025,0.02186302,1211.76186,1594.4235,32.29,63758.1,1.0,0.8,0.82908,10.99536,0.00018,-105.58524,
deribit,BTC,option,BTC-28AUG26-81000-P,28AUG26,81000,P,0.2245,0.3145,0.26750413,14317.923030000002,20057.84763,38.8,63923.11,0.1,0.0,,,,,
deribit,BTC,option,BTC-21AUG26-63000-C,21AUG26,63000,C,0.0345,0.036,0.03558283,2200.30443,2295.9698399999997,32.29,63881.99,15.4,10.3,0.59239,54.59056,9e-05,-49.84618,
deribit,BTC,option,BTC-25JUN27-130000-P,25JUN27,130000,P,0.969,1.0115,0.97253045,61799.85486,64510.37481000001,42.2,66250.24,0.1,0.0,,,,,
