venue,asset,ladder,event,ticker,contract,settle_utc,strike_type,floor,cap,yes_bid,yes_ask,no_bid,no_ask,last,volume,open_interest,bid_depth,ask_depth
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-T53700,"$53,699.99 or below",2026-08-03T16:00:00Z,less,,53700.0,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B53750,"$53,700 to 53,799.99",2026-08-03T16:00:00Z,between,53700.0,53799.99,0.0,0.01,0.99,1.0,0.01,93.51,93.51,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B53850,"$53,800 to 53,899.99",2026-08-03T16:00:00Z,between,53800.0,53899.99,0.0,0.01,0.99,1.0,0.01,93.51,93.51,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B53950,"$53,900 to 53,999.99",2026-08-03T16:00:00Z,between,53900.0,53999.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B54050,"$54,000 to 54,099.99",2026-08-03T16:00:00Z,between,54000.0,54099.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B54150,"$54,100 to 54,199.99",2026-08-03T16:00:00Z,between,54100.0,54199.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B54250,"$54,200 to 54,299.99",2026-08-03T16:00:00Z,between,54200.0,54299.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B54350,"$54,300 to 54,399.99",2026-08-03T16:00:00Z,between,54300.0,54399.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B54450,"$54,400 to 54,499.99",2026-08-03T16:00:00Z,between,54400.0,54499.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B54550,"$54,500 to 54,599.99",2026-08-03T16:00:00Z,between,54500.0,54599.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
kalshi,BTC,range,KXBTC-26AUG0312,KXBTC-26AUG0312-B54650,"$54,600 to 54,699.99",2026-08-03T16:00:00Z,between,54600.0,54699.99,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0,0
