venue,asset,ladder,event,ticker,contract,settle_utc,best_bid,best_ask,last,volume,liquidity,bid_depth,ask_depth,yes_token
polymarket,BTC,above,bitcoin-above-on-august-4-2026,bitcoin-above-54k-on-august-4-2026,"54,000",2026-08-04T16:00:00Z,0.999,1,0.999,131599.126871,75171.36914,233866.47,0,48680280379178913108782121261418905543346403733480100586231105059735857696334
polymarket,BTC,above,bitcoin-above-on-august-4-2026,bitcoin-above-56k-on-august-4-2026,"56,000",2026-08-04T16:00:00Z,0.998,0.999,0.999,72129.032241,47223.22686,185538.70999999996,2008.23,110166070887043717734580312398247969348309169603083060303632116730648953137505
polymarket,BTC,above,bitcoin-above-on-august-4-2026,bitcoin-above-58k-on-august-4-2026,"58,000",2026-08-04T16:00:00Z,0.998,0.999,0.998,80729.89741099995,52575.56058,190433.22,29570.21,74567935957923649791918494985250426808663069897506967238681438641391037965298
polymarket,BTC,above,bitcoin-above-on-august-4-2026,bitcoin-above-60k-on-august-4-2026,"60,000",2026-08-04T16:00:00Z,0.981,0.986,0.988,106495.28735399996,28608.93317,285400.72000000003,57965.36,106493285142278333379534357055206998136964598981386160531814587710228089828027
polymarket,BTC,above,bitcoin-above-on-august-4-2026,bitcoin-above-62k-on-august-4-2026,"62,000",2026-08-04T16:00:00Z,0.94,0.95,0.95,121244.70748200001,27461.7717,142180.1,21787.98,110265694267936992469417700335614533467196469203686817149366068640963818137254
polymarket,BTC,above,bitcoin-above-on-august-4-2026,bitcoin-above-64k-on-august-4-2026,"64,000",2026-08-04T16:00:00Z,0.39,0.4,0.42,92775.007929,23936.3766,109924.95,130858.05000000005,29555762820866648320104527193097022031745059648291657199936106011886955678610
polymarket,BTC,above,bitcoin-above-on-august-4-2026,bitcoin-above-66k-on-august-4-2026,"66,000",2026-08-04T16:00:00Z,0.018,0.025,0.029,120406.46347099991,24694.57244,91331.73,280798.36000000004,109099445237989791507033726458208932479317930030975047250629827113657583506153
polymarket,BTC,above,bitcoin-above-on-august-4-2026,bitcoin-above-68k-on-august-4-2026,"68,000",2026-08-04T16:00:00Z,0.001,0.007,0.007,146308.213266,26013.98462,4320.0,282464.60000000003,21483373929090644776159156055185168428233385008143093433781620623793976241649
polymarket,BTC,above,bitcoin-above-on-august-4-2026,bitcoin-above-70k-on-august-4-2026,"70,000",2026-08-04T16:00:00Z,,0.002,0.001,104031.15878099999,78546.21296,0,359886.16,28537898232985060679965050100393503537673349207038872787922585529514847464887
polymarket,BTC,above,bitcoin-above-on-august-4-2026,bitcoin-above-72k-on-august-4-2026,"72,000",2026-08-04T16:00:00Z,,0.001,0.001,63270.806067000005,48233.63843,0,308174.31000000006,32182438684715674330022478347908338301802097325782845276433187568607741841973
polymarket,BTC,above,bitcoin-above-on-august-4-2026,bitcoin-above-74k-on-august-4-2026,"74,000",2026-08-04T16:00:00Z,,0.001,0.001,16753.780635,93102.87598,0,344770.23,50046804194240196937926350942731281175212123259506388982261901258371241677180
polymarket,BTC,above,bitcoin-above-on-august-5-2026,bitcoin-above-54k-on-august-5-2026,"54,000",2026-08-05T16:00:00Z,0.995,1,0.999,7321.348368000002,17914.7971,152616.47,0,42871091280534617658446604198669876534309483016708907261782406256523075856144
